"sector_id","sector_nombre","variable_id","actividad_producto_nombre","indicador","unidad_de_medida","fuente","frecuencia_nombre","cobertura_nombre","alcance_tipo","alcance_id","alcance_nombre","indice_tiempo","valor"
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1995-09-01,302.8
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1995-10-01,333.7
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1995-11-01,330.6
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1995-12-01,263.1
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1996-01-01,271.2
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1996-02-01,305.7
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1996-03-01,361.5
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1996-04-01,336.1
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1996-05-01,345.6
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1996-06-01,350.1
26,"Industrias Metálicas Básicas, Siderurgia y aluminio",451,"Acero crudo","Producción","miles de tn","Cámara Argentina del Acero","Mensual","Nacional","PAIS","200","Argentina",1996-07-01,352.7
